Problem,Category
What type of modem is needed for broadband?,Product-Info-ADSL
How to install an ADSL router?,Product-Info-ADSL
ADSL speed comparison,Product-Info-ADSL
What is the max speed of ADSL?,Product-Info-ADSL
DSL speed comparison,Product-Info-ADSL
How to upgrade ADSL rates?,Product-Info-ADSL
DSL connection downtime issues,Product-Info-ADSL
What are the limitations of ADSL?,Product-Info-ADSL
high-speed internet setup cost in Sri Lanka,Product-Info-ADSL
high-speed internet vs cable internet,Product-Info-ADSL
Best broadband providers in Sri Lanka,Product-Info-ADSL
broadband package list in Sri Lanka,Product-Info-ADSL
Best ADSL providers in Sri Lanka,Product-Info-ADSL
How secure is an broadband connection?,Product-Info-ADSL
ADSL package list in Sri Lanka,Product-Info-ADSL
What is adsl internet?,Product-Info-ADSL
How to diagnose ADSL connection problems?,Product-Info-ADSL
Can DSL handle video streaming?,Product-Info-ADSL
How to fix ADSL connection problems?,Product-Info-ADSL
ADSL vs cable network,Product-Info-ADSL
Is ADSL suitable for online gaming?,Product-Info-ADSL
Can I use ADSL for my small business?,Product-Info-ADSL
Can ADSL handle video streaming?,Product-Info-ADSL
What is adsl service?,Product-Info-ADSL
Does weather affect DSL performance?,Product-Info-ADSL
ADSL setup cost in Sri Lanka,Product-Info-ADSL
What is the latency of ADSL net?,Product-Info-ADSL
ADSL vs cable service,Product-Info-ADSL
Is ADSL better than mobile internet?,Product-Info-ADSL
Does weather affect ADSL performance?,Product-Info-ADSL
How reliable is DSL internet?,Product-Info-ADSL
ADSL bandwidth comparison,Product-Info-ADSL
What type of device is needed for ADSL?,Product-Info-ADSL
How secure is an ADSL connection?,Product-Info-ADSL
How reliable is ADSL network?,Product-Info-ADSL
How to install an broadband modem?,Product-Info-ADSL
How does ADSL work?,Product-Info-ADSL
How reliable is ADSL internet?,Product-Info-ADSL
broadband vs cable internet,Product-Info-ADSL
How to install an ADSL device?,Product-Info-ADSL
What is the latency of high-speed internet net?,Product-Info-ADSL
How to check if ADSL is available in my area?,Product-Info-ADSL
How to upgrade high-speed internet speeds?,Product-Info-ADSL
What type of router is needed for ADSL?,Product-Info-ADSL
How to troubleshoot ADSL connection problems?,Product-Info-ADSL
Best ADSL suppliers in Sri Lanka,Product-Info-ADSL
How to install a high-speed connection?,Product-Info-FIBRE
What hardware is needed for fiber?,Product-Info-FIBRE
Is optical suitable for 4K streaming?,Product-Info-FIBRE
What are the benefits of fiber internet?,Product-Info-FIBRE
How secure is fiber internet?,Product-Info-FIBRE
What equipment is needed for fiber?,Product-Info-FIBRE
What equipment is needed for high-speed?,Product-Info-FIBRE
What is the latency of high-speed connection?,Product-Info-FIBRE
How speedy is fiber net?,Product-Info-FIBRE
Does weather affect fiber net?,Product-Info-FIBRE
How does fiber connection work?,Product-Info-FIBRE
Fiber internet package prices in Sri Lanka,Product-Info-FIBRE
How to switch to fiber from ADSL?,Product-Info-FIBRE
Is fiber available in rural areas?,Product-Info-FIBRE
Is fibre suitable for 4K streaming?,Product-Info-FIBRE
What are the advantages of fibre internet?,Product-Info-FIBRE
How to migrate to fiber from ADSL?,Product-Info-FIBRE
What is the difference between fiber and broadband?,Product-Info-FIBRE
What is FTTH (high-speed to home)?,Product-Info-FIBRE
Does fibre work during power outages?,Product-Info-FIBRE
Does fiber work during power outages?,Product-Info-FIBRE
How does fiber service work?,Product-Info-FIBRE
How fast is fiber net?,Product-Info-FIBRE
How to install a fiber connection?,Product-Info-FIBRE
How reliable is fiber connection?,Product-Info-FIBRE
What is FTTH (fiber to home)?,Product-Info-FIBRE
What is fiber internet?,Product-Info-FIBRE
How reliable is optical internet?,Product-Info-FIBRE
How does fiber internet work?,Product-Info-FIBRE
What are the advantages of fiber connection?,Product-Info-FIBRE
What are the advantages of fiber service?,Product-Info-FIBRE
What are the advantages of fiber internet?,Product-Info-FIBRE
How fast is optical net?,Product-Info-FIBRE
How to configure a fiber connection?,Product-Info-FIBRE
How does high-speed internet work?,Product-Info-FIBRE
What is the maximum speed of fiber?,Product-Info-FIBRE
Fiber net installation cost in Sri Lanka,Product-Info-FIBRE
Best fiber providers in Sri Lanka,Product-Info-FIBRE
How consistent is fiber internet?,Product-Info-FIBRE
How reliable is fiber internet?,Product-Info-FIBRE
What is optical internet?,Product-Info-FIBRE
How does fibre internet work?,Product-Info-FIBRE
What is fiber connection?,Product-Info-FIBRE
Fiber internet troubleshooting guide,Product-Info-FIBRE
What are the pros of fiber internet?,Product-Info-FIBRE
What is the ping of fiber connection?,Product-Info-FIBRE
Does high-speed support VPNs better?,Product-Info-FIBRE
How does optical internet work?,Product-Info-FIBRE
Does fibre support VPNs better?,Product-Info-FIBRE
How to move to fiber from ADSL?,Product-Info-FIBRE
What is the difference between fibre and broadband?,Product-Info-FIBRE
Does fiber support VPNs better?,Product-Info-FIBRE
What is the latency of fiber connection?,Product-Info-FIBRE
Is fiber suitable for 4K streaming?,Product-Info-FIBRE
How does fiber network work?,Product-Info-FIBRE
Fiber connection vs ADSL: which is better?,Product-Info-FIBRE
How to switch to optical from ADSL?,Product-Info-FIBRE
Fiber net connectation cost in Sri Lanka,Product-Info-FIBRE
Can fiber net handle heavy gaming?,Product-Info-FIBRE
Can I get unlimited data on fiber plans?,Product-Info-FIBRE
What are the requirements for a new connection?,New-Connection
What documents do I need for a new connection?,New-Connection
How do I request a subscription?,New-Connection
Are subscriptions available here?,New-Connection
How long does it take to activate a new connection?,New-Connection
Can you help me with a subscription?,New-Connection
I need help setting up a new connection?,New-Connection
How do I request a new connection?,New-Connection
How to get a account?,New-Connection
I need details for a subscription?,New-Connection
Can you help me with a new connection?,New-Connection
How do I contact someone for a new connection?,New-Connection
How can I apply for a new connection?,New-Connection
How do I check if a new connection is possible?,New-Connection
I need help setting up a line?,New-Connection
How do I request a account?,New-Connection
How to get a new connection?,New-Connection
Are new connections provided here?,New-Connection
Are there any offers for services?,New-Connection
Can you guide me with a new connection?,New-Connection
What is the steps for a new connection?,New-Connection
I want a new connection?,New-Connection
Is there an online process for a new connection?,New-Connection
How can I apply for a account?,New-Connection
Is there any discount for a new connection?,New-Connection
Can I get a line for my office?,New-Connection
Are there any hidden charges for a new connection?,New-Connection
Can I apply for a line online?,New-Connection
What is the process for a account?,New-Connection
Are new connections available here?,New-Connection
What is the procedure for a subscription?,New-Connection
How do I register for a line?,New-Connection
How can I apply for a subscription?,New-Connection
I need aid setting up a new connection?,New-Connection
Can I sign up for a new connection online?,New-Connection
How do I contact someone for a line?,New-Connection
Can I apply for a new connection online?,New-Connection
How do I contact someone for a service?,New-Connection
Can I get a new connection now?,New-Connection
How do I register for a service?,New-Connection
Can I get a new connection for my office?,New-Connection
What is the process for a new connection?,New-Connection
Do I need to visit the office for a new connection?,New-Connection
How can I set up a new account?,New-Connection
What support is available for new connections?,New-Connection
How do I check if a service is possible?,New-Connection
What is the cost of installing a service?,New-Connection
What are the charges for a new connection?,New-Connection
What is the cost of installing a subscription?,New-Connection
How can I register for a new connection?,New-Connection
How soon can I get a new connection?,New-Connection
What is the procedure for a new connection?,New-Connection
I need details for a new connection?,New-Connection
How can I enroll for a new connection?,New-Connection
I want a account?,New-Connection
Can I get a new connection for my center?,New-Connection
What is the cost of installing a new connection?,New-Connection
Is a new connection available in my area?,New-Connection
How do I register for a new connection?,New-Connection
Are there any offers for new connections?,New-Connection
How can I call to customer care support staff?,Customer-Care-Agent
Want to get assistance,Customer-Care-Agent
Connect to agent,Customer-Care-Agent
How can I call you?,Customer-Care-Agent
How can I dial to customer care agent?,Customer-Care-Agent
Is there a number I can contact for help?,Customer-Care-Agent
Voice agent support,Customer-Care-Agent
Call customer care agent,Customer-Care-Agent
Can I place a call to customer care agent?,Customer-Care-Agent
Is there a number I can connect for help?,Customer-Care-Agent
Customer care agent,Customer-Care-Agent
Can you connect me to an agent?,Customer-Care-Agent
Customer care connect,Customer-Care-Agent
Can I place a contact to agent?,Customer-Care-Agent
Customer assistant,Customer-Care-Agent
Call customer care advisor,Customer-Care-Agent
How can I make a connect?,Customer-Care-Agent
Call support agent,Customer-Care-Agent
I need guidance,Customer-Care-Agent
How can I connect to customer care agent?,Customer-Care-Agent
Call help,Customer-Care-Agent
Is there a helpline I can call for help?,Customer-Care-Agent
Is there a phone I can call for help?,Customer-Care-Agent
I need to talk to someone from customer support.,Customer-Care-Agent
Is there a way to call customer service?,Customer-Care-Agent
Can I place a connect to agent?,Customer-Care-Agent
I need to speak with a representative.,Customer-Care-Agent
I need to dial customer care,Customer-Care-Agent
Customer care call,Customer-Care-Agent
Can I place a call to agent?,Customer-Care-Agent
How can I call to customer care representative?,Customer-Care-Agent
Is there a number I can call for help?,Customer-Care-Agent
Voice help,Customer-Care-Agent
How can I call to customer care agent?,Customer-Care-Agent
I need to call customer care,Customer-Care-Agent
How can I contact your support agent?,Customer-Care-Agent
Customer care advisor,Customer-Care-Agent
Call agent,Customer-Care-Agent
"I have some issues, can I call you?",Customer-Care-Agent
"I have some issues, can I reach you?",Customer-Care-Agent
Can I get assistance over a call?,Customer-Care-Agent
How can I call to client support agent?,Customer-Care-Agent
Is there a number I can call for assistance?,Customer-Care-Agent
I need to call service desk,Customer-Care-Agent
Can I get assistance over a reach?,Customer-Care-Agent
Need to call assistance,Customer-Care-Agent
"I have some questions, can I call you?",Customer-Care-Agent
Can I converse to someone about my issue?,Customer-Care-Agent
How do I reach your support team?,Customer-Care-Agent
Voice support staff help,Customer-Care-Agent
Voice agent help,Customer-Care-Agent
Need to connect help,Customer-Care-Agent
Is there a number I can call for guidance?,Customer-Care-Agent
Get helpline,Customer-Care-Agent
Need to call help,Customer-Care-Agent
Can I talk to someone about my issue?,Customer-Care-Agent
Can I get assistance over a connect?,Customer-Care-Agent
I need to discuss to someone from customer support.,Customer-Care-Agent
How can I make a call?,Customer-Care-Agent
I need to get the help of an assistant,Customer-Care-Agent
How much do I need to clear?,Billing-info
Give me a account report,Billing-info
Show me my past statements,Billing-info
Show me account report,Billing-info
Give me a billing statement,Billing-info
How much do I need to settle?,Billing-info
Send me my payment record report,Billing-info
Give me a invoiceing report,Billing-info
Give me a invoice summary,Billing-info
Do I make a remitment?,Billing-info
Can I see my account history?,Billing-info
Can I see my statementing history?,Billing-info
Can I see my billing history?,Billing-info
Do I make a coverment?,Billing-info
I want my billing statement,Billing-info
Can I see my charge sheeting history?,Billing-info
Send me my invoice report,Billing-info
Can I see my payment history?,Billing-info
Show me my past invoices,Billing-info
Show me billing report,Billing-info
How can I get my statement?,Billing-info
Show me my past bills,Billing-info
How much do I need to pay?,Billing-info
I want my payment report,Billing-info
I want my charge sheeting report,Billing-info
Can I see my payment recording history?,Billing-info
Show me payment report,Billing-info
How can I get my bill?,Billing-info
Show me charge sheeting report,Billing-info
Do I make a settlement?,Billing-info
How much do I need to cover?,Billing-info
How can I get my payment record?,Billing-info
Give me a payment recording report,Billing-info
I need a charge sheet summary,Billing-info
Show me invoiceing report,Billing-info
Show me payment recording report,Billing-info
Show me statementing report,Billing-info
I need a invoice summary,Billing-info
I want my account report,Billing-info
I want my payment recording report,Billing-info
Show me billing statement,Billing-info
Give me a billing report,Billing-info
Show me my past payment records,Billing-info
I want my invoiceing report,Billing-info
I want my statementing report,Billing-info
Do I make a payment?,Billing-info
Can I see my transaction history?,Billing-info
How much do I need to remit?,Billing-info
Can I see my invoiceing history?,Billing-info
Send me my charge sheet report,Billing-info
Send me my bill report,Billing-info
Show me my past charge sheets,Billing-info
I need a payment record summary,Billing-info
Send me my statement report,Billing-info
I need a statement summary,Billing-info
How can I get my charge sheet?,Billing-info
I want my billing report,Billing-info
Do I make a clearment?,Billing-info
I need a bill summary,Billing-info
Give me a statementing report,Billing-info
Hi,Welcome
Hello,Welcome
Hey,Welcome
Greetings,Welcome
Good morning,Welcome
Good afternoon,Welcome
Good evening,Welcome
Hi there,Welcome
Hey there,Welcome
Hello there,Welcome
What’s up?,Welcome
How are you?,Welcome
"Hey, how’s it going?",Welcome
"Hi, good to see you",Welcome
"Hello, I need help",Welcome
"Hey, can we chat?",Welcome
"Hi, are you there?",Welcome
"Hello, are you online?",Welcome
"Hey, can I ask something?",Welcome
"Hi, I’ve got a question",Welcome
Good day,Welcome
"Hello, let’s get started",Welcome
"Hi, how’s everything?",Welcome
"Hello, can we begin?",Welcome
"Hey, I need assistance",Welcome
"Hello, I have a query",Welcome
"Hi, can you assist me?",Welcome
Hey Mira,Welcome
Greetings Mira,Welcome
"Hi there, Mira",Welcome
"Hey there, Mira",Welcome
Good morning Mira,Welcome
Good afternoon Mira,Welcome
Good evening Mira,Welcome
Hello SLT Mira,Welcome
Hi SLT Mira,Welcome
Hey SLT Mira,Welcome
What's up Mira?,Welcome
"How are you, Mira?",Welcome
"Hi Mira, how can you help me?",Welcome
"Hello Mira, I need assistance",Welcome
"Hey Mira, good to see you",Welcome
"Hi Mira, I have a question",Welcome
"Hi Mira, can we chat?",Welcome
"Hello Mira, are you there?",Welcome
"Hi Mira, are you online?",Welcome
"Hey Mira, I need your help",Welcome
Greetings SLT Mira,Welcome
"Hi SLT Mira, nice to meet you",Welcome
"Hello Mira, I need support",Welcome
"Hi Mira, I’m here",Welcome
"Hello Mira, are you ready?",Welcome
"Hey Mira, let’s talk",Welcome
"Good day, Mira",Welcome
"Hello, I’m here to learn",Welcome
"Hey, what’s the plan?",Welcome
"Hi, let’s see what you can do",Welcome
"Hello, it’s me",Welcome
"Hey, I’m back",Welcome
"Hi, I’m looking forward to chatting",Welcome
Bye,Farewell
Goodbye,Farewell
See you later,Farewell
Take care,Farewell
Catch you later,Farewell
"Thanks, bye",Farewell
Bye for now,Farewell
See you next time,Farewell
Have a great day,Farewell
Have a nice day,Farewell
See you around,Farewell
Farewell,Farewell
"Thanks, see you later",Farewell
Bye-bye,Farewell
I’ll talk to you later,Farewell
See you soon,Farewell
Have a good one,Farewell
Later,Farewell
Until next time,Farewell
"I’m signing off, bye",Farewell
"Until next time, Mira",Farewell
"Thanks for your help, Mira, goodbye",Farewell
"I’m signing off, Mira, bye",Farewell
"Adios, Mira",Farewell
"Cheerio, Mira",Farewell
"Bye now, Mira",Farewell
"Catch you soon, Mira",Farewell
"Bye, Mira, take care",Farewell
"See ya, Mira",Farewell
"Thanks a lot, Mira, bye",Farewell
"Bye, Mira, I’ll be back",Farewell
"Ciao, Mira",Farewell
"So long, Mira",Farewell
"Until we meet again, Mira",Farewell
"Thanks, Mira, I’m done for now",Farewell
"Talk later, Mira, bye",Farewell
"See you tomorrow, Mira",Farewell
"Bye, Mira, you’ve been great",Farewell
"Thanks, Mira, see you next time",Farewell
"Mira, I’m leaving, bye",Farewell
"Catch you later, Mira, have a good day",Farewell
"Thanks for everything, Mira, bye",Farewell
"Bye for now, Mira, see you later",Farewell
"I’ll be back later, Mira, bye",Farewell
"Goodbye, Mira, take care",Farewell
"Bye, Mira, you were helpful",Farewell
"Thanks a lot, Mira, see ya",Farewell
"Mira, I’m off, goodbye",Farewell
"Talk to you again, Mira, bye",Farewell
"I’ll catch you next time, Mira",Farewell
"Mira, I’m done for now, bye",Farewell
"Thanks for chatting, Mira, bye",Farewell
"See you in a bit, Mira",Farewell
"Bye, Mira, have a great day",Farewell
"Take care, Mira, goodbye",Farewell
"Thanks again, Mira, bye",Farewell
"I’m out, Mira, see you later",Farewell
"Mira, thanks, I’m signing off",Farewell
"Mira, have a nice day, bye",Farewell
"Bye, Mira, I’ll come back soon",Farewell
"Mira, see you later, take care",Farewell
